,A,B,C
0,235.8333,324.0343,478.3231
1,236.2708,325.6379,515.4564
2,238.0521,328.0897,517.0909
3,235.9063,203.462116071,514.89
4,236.7604,268.8324,493.35259127
5,237.151181348,404.048,486.0912
6,237.4167,391.2652,516.233
7,238.6563,380.8241,493.342381805
8,237.6042,388.023,435.3508
9,238.0313,206.4349,487.675
10,235.0729,237.348072299,609.193564394
11,235.5313,400.0787,660.2347
12,235.314951317,411.2069,621.2346
13,234.4688,395.2343,611.3408
14,235.5,344.8221,643.0863
15,235.6354,385.6432,642.3482
16,234.5521,401.6234,618.197198229
17,236.0,409.6489,602.9347
18,235.2396,416.8795,589.3457
19,235.4896,420.748600001,556.3452
20,236.9688,408.963199989,538.347
